Text,clean_text,polarity,sentiment
 Enjoying a beautiful day at the park!              ,enjoying beautiful day park,0.675,Positive
 Traffic was terrible this morning.                 ,traffic terrible morning,-1.0,Negative
 Just finished an amazing workout! 💪               ,finished amazing workout,0.6000000000000001,Positive
 Excited about the upcoming weekend getaway!        ,excited upcoming weekend getaway,0.375,Positive
 Trying out a new recipe for dinner tonight.        ,trying new recipe dinner tonight,0.13636363636363635,Positive
 Feeling grateful for the little things in life.    ,feeling grateful little thing life,-0.1875,Negative
 Rainy days call for cozy blankets and hot cocoa.   ,rainy day call cozy blanket hot cocoa,0.02500000000000001,Neutral
 The new movie release is a must-watch!             ,new movie release must watch,0.13636363636363635,Positive
 Political discussions heating up on the timeline.  ,political discussion heating timeline,0.0,Neutral
 Missing summer vibes and beach days.               ,missing summer vibe beach day,-0.2,Negative
 Just published a new blog post. Check it out!      ,published new blog post check,0.13636363636363635,Positive
 Feeling a bit under the weather today.             ,feeling bit weather today,0.0,Neutral
 Exploring the city's hidden gems.                  ,exploring city hidden gem,-0.16666666666666666,Negative
" New year, new fitness goals! 💪                    ",new year new fitness goal,0.13636363636363635,Positive
 Technology is changing the way we live.            ,technology changing way live,0.13636363636363635,Positive
 Reflecting on the past and looking ahead.          ,reflecting past looking ahead,-0.25,Negative
 Just adopted a cute furry friend! 🐾              ,adopted cute furry friend,0.5,Positive
 Late-night gaming session with friends.            ,late night gaming session friend,-0.3,Negative
 Attending a virtual conference on AI.              ,attending virtual conference,0.0,Neutral
 Winter blues got me feeling low.                   ,winter blue got feeling low,0.0,Neutral
 Sipping coffee and enjoying a good book.           ,sipping coffee enjoying good book,0.6,Positive
 Exploring the world of virtual reality.            ,exploring world virtual reality,0.0,Neutral
 Productive day ticking off my to-do list.          ,productive day ticking list,0.0,Neutral
 Just finished a challenging workout routine.       ,finished challenging workout routine,0.5,Positive
 Celebrating a milestone at work! 🎉               ,celebrating milestone work,0.0,Neutral
 Sunday brunch with friends.                        ,sunday brunch friend,0.0,Neutral
 Learning a new language for personal growth.       ,learning new language personal growth,0.06818181818181818,Neutral
 Quiet evening with a good book.                    ,quiet evening good book,0.35,Positive
 Reflecting on the importance of mental health.     ,reflecting importance mental health,-0.1,Neutral
 New painting in progress! 🎨                       ,new painting progress,0.13636363636363635,Positive
 Weekend road trip to explore scenic views.         ,weekend road trip explore scenic view,0.0,Neutral
 Enjoying a cup of tea and watching the sunset.     ,enjoying cup tea watching sunset,0.5,Positive
 Coding a new project with enthusiasm.              ,coding new project enthusiasm,0.13636363636363635,Positive
 Feeling inspired after attending a workshop.       ,feeling inspired attending workshop,0.0,Neutral
 Winter sports day at the local park.               ,winter sport day local park,0.0,Neutral
 Quality time with family this weekend.             ,quality time family weekend,0.0,Neutral
 Attending a live music concert tonight.            ,attending live music concert tonight,0.13636363636363635,Positive
 Practicing mindfulness with meditation.            ,practicing mindfulness meditation,0.0,Neutral
 Trying out a new dessert recipe.                   ,trying new dessert recipe,0.13636363636363635,Positive
 Excited about the upcoming gaming tournament.      ,excited upcoming gaming tournament,0.375,Positive
 Planning a garden makeover for spring.             ,planning garden makeover spring,0.0,Neutral
 Celebrating a friend's birthday tonight! 🎂       ,celebrating friend birthday tonight,0.0,Neutral
 Feeling accomplished after a productive day.       ,feeling accomplished productive day,0.2,Positive
 A cozy evening with a good movie.                 ,cozy evening good movie,0.25,Positive
 Exploring local art galleries this weekend.        ,exploring local art gallery weekend,0.0,Neutral
 New book release from my favorite author!          ,new book release favorite author,0.3181818181818182,Positive
 Attending a virtual reality meetup.                ,attending virtual reality meetup,0.0,Neutral
 Reflecting on the beauty of nature.                ,reflecting beauty nature,0.0,Neutral
 Cooking a special dinner for loved ones.           ,cooking special dinner loved one,0.5285714285714286,Positive
 Feeling optimistic about the week ahead.           ,feeling optimistic week ahead,0.0,Neutral
 Starting a new fitness challenge tomorrow! 💪     ,starting new fitness challenge tomorrow,0.06818181818181818,Neutral
 Sunday bike ride through scenic trails.           ,sunday bike ride scenic trail,0.0,Neutral
 Can't believe the injustice happening in our society.,believe injustice happening society,0.0,Neutral
 Feeling a sense of fear after watching a thriller movie. ,feeling sense fear watching thriller movie,0.0,Neutral
 Heartbroken after hearing the news about a natural disaster. ,heartbroken hearing news natural disaster,0.1,Neutral
 The state of the world's environment is just disgusting. ,state world environment disgusting,-1.0,Negative
 Pure happiness: celebrating a loved one's achievement! ,pure happiness celebrating loved one achievement,0.5380952380952381,Positive
 Laughter is the best medicine—enjoying a comedy show. ,laughter best medicine enjoying comedy show,0.75,Positive
 Sharing love and positive vibes with everyone! ❤️      ,sharing love positive vibe everyone,0.36363636363636365,Positive
 An amusing incident brightened up my day!               ,amusing incident brightened day,0.6,Positive
 Enjoying a quiet evening with a book and some tea.      ,enjoying quiet evening book tea,0.25,Positive
 Admiring the beauty of nature during a peaceful hike.   ,admiring beauty nature peaceful hike,0.25,Positive
 Sending affectionate vibes to all my followers!          ,sending affectionate vibe follower,0.0,Neutral
 Experiencing awe at the breathtaking sunset.            ,experiencing awe breathtaking sunset,1.0,Positive
 Disappointed with the service at a local restaurant.    ,disappointed service local restaurant,-0.375,Negative
 A surprise gift from a friend made my day!              ,surprise gift friend made day,0.0,Neutral
